StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,attn_check_1,attn_check_2,attn_check_3_1,attn_check_3_2,attn_check_3_3,attn_check_4,WW_det_identity_1_1,WW_det_identity_2_1,WW_det_identity_3_1,WW_det_identity_telo_1,WW_det_prediction_1,WW_det_prediction_es_1,WW_det_prediction_te_1,WW_det_prediction_ca_1,WW_det_comp_prev,WW_det_comp_1,WW_det_comp_2,WW_imp_identity_1_1,WW_imp_identity_2_1,WW_imp_identity_3_1,WW_imp_identity_telo_1,WW_imp_prediction_1,WW_imp_prediction_es_1,WW_imp_prediction_te_1,WW_imp_prediction_ca_1,WW_imp_comp_prev,WW_imp_comp_1,WW_imp_comp_2,BL_det_identity_1_1,BL_det_identity_2_1,BL_det_identity_3_1,BL_det_identity_telo_1,BL_det_prediction_1,BL_det_prediction_es_1,BL_det_prediction_te_1,BL_det_prediction_ca_1,BL_det_comp_prev,BL_det_comp_1,BL_det_comp_2,BL_imp_identity_1_1,BL_imp_identity_2_1,BL_imp_identity_3_1,BL_imp_identity_telo_1,BL_imp_prediction_1,BL_imp_prediction_es_1,BL_imp_prediction_te_1,BL_imp_prediction_ca_1,BL_imp_comp_prev,BL_imp_comp_1,BL_imp_comp_2,WC_det_identity_1_1,WC_det_identity_2_1,WC_det_identity_3_1,WC_det_identity_telo_1,WC_det_prediction_1,WC_det_prediction_es_1,WC_det_prediction_te_1,WC_det_prediction_ca_1,WC_det_comp_prev,WC_det_comp_1,WC_det_comp_2,WC_imp_identity_1_1,WC_imp_identity_2_1,WC_imp_identity_3_1,WC_imp_identity_telo_1,WC_imp_prediction_1,WC_imp_prediction_es_1,WC_imp_prediction_te_1,WC_imp_prediction_ca_1,WC_imp_comp_prev,WC_imp_comp_1,WC_imp_comp_2,AM_det_identity_1_1,AM_det_identity_2_1,AM_det_identity_3_1,AM_det_identity_telo_1,AM_det_prediction_1,AM_det_prediction_es_1,AM_det_prediction_te_1,AM_det_prediction_ca_1,AM_det_comp_prev,AM_det_comp_1,AM_det_comp_2,AM_imp_identity_1_1,AM_imp_identity_2_1,AM_imp_identity_3_1,AM_imp_identity_telo_1,AM_imp_prediction_1,AM_imp_prediction_es_1,AM_imp_prediction_te_1,AM_imp_prediction_ca_1,AM_imp_comp_prev,AM_imp_comp_1,AM_imp_comp_2,TC_det_identity_1_1,TC_det_identity_2_1,TC_det_identity_3_1,TC_det_identity_telo_1,TC_det_prediction_1,TC_det_prediction_es_1,TC_det_prediction_te_1,TC_det_prediction_ca_1,TC_det_comp_prev,TC_det_comp_1,TC_det_comp_2,TC_imp_identity_1_1,TC_imp_identity_2_1,TC_imp_identity_3_1,TC_imp_identity_telo_1,TC_imp_prediction_1,TC_imp_prediction_es_1,TC_imp_prediction_te_1,TC_imp_prediction_ca_1,TC_imp_comp_prev,TC_imp_comp_1,TC_imp_comp_2,RO_det_identity_1_1,RO_det_identity_2_1,RO_det_identity_3_1,RO_det_identity_telo_1,RO_det_prediction_1,RO_det_prediction_es_1,RO_det_prediction_te_1,RO_det_prediction_ca_1,RO_det_comp_prev,RO_det_comp_1,RO_det_comp_2,RO_imp_identity_1_1,RO_imp_identity_2_1,RO_imp_identity_3_1,RO_det_identity_telo_1,RO_imp_prediction_1,RO_imp_prediction_es_1,RO_imp_prediction_te_1,RO_imp_prediction_ca_1,RO_imp_comp_prev,RO_imp_comp_1,RO_imp_comp_2,BT_det_identity_1_1,BT_det_identity_2_1,BT_det_identity_3_1,BT_det_identity_telo_1,BT_det_prediction_1,BT_det_prediction_es_1,BT_det_prediction_te_1,BT_det_prediction_ca_1,BT_det_comp_prev,BT_det_comp_1,BT_det_comp_2,BT_imp_identity_1_1,BT_imp_identity_2_1,BT_imp_identity_3_1,BT_imp_identity_telo_1,BT_imp_prediction_1,BT_imp_prediction_es_1,BT_imp_prediction_te_1,BT_imp_prediction_ca_1,BT_imp_comp_prev,BT_imp_comp_1,BT_imp_comp_2,DL_det_identity_1_1,DL_det_identity_2_1,DL_det_identity_3_1,DL_det_identity_telo_1,DL_det_prediction_1,DL_det_prediction_es_1,DL_det_prediction_te_1,DL_det_prediction_ca_1,DL_det_comp_prev,DL_det_comp_1,DL_det_comp_2,DL_imp_identity_1_1,DL_imp_identity_2_1,DL_imp_identity_3_1,DL_imp_identity_telo_1,DL_imp_prediction_1,DL_imp_prediction_es_1,DL_imp_prediction_te_1,DL_imp_prediction_ca_1,DL_imp_comp_prev,DL_imp_comp_1,DL_imp_comp_2,psych_glibness_1,psych_grandiose_1,psych_path_liar_1,psych_con_manip_1,psych_remorse_1,psych_shallow_affect_1,psych_callous_1,psych_parasitism_1,psych_control_behav_1,psych_goals_1,psych_impulse_1,psych_irresponsible_1,psych_responsible_1,psych_same_offense_1,psych_criminal_1,politics_1,gender,gender_4_TEXT,ethnicity,ethnicity_5_TEXT,age,education,education_9_TEXT,comments,StudyID,FL_6_DO,FL_103_DO,FL_98_DO,FL_93_DO,FL_88_DO,FL_83_DO,FL_78_DO,FL_73_DO,FL_68_DO,FL_63_DO,FL_58_DO,FL_53_DO,FL_48_DO,FL_43_DO,FL_38_DO,FL_33_DO,FL_27_DO,"WestWinter,Deteriorate,IdentityMeasures_DO","WestWinter,Deteriorate,PredictionMeasures_DO","WestWinter,Improve,IdentityMeasures_DO","WestWinter,Improve,PredictionMeasures_DO","BrighterLab,Deteriorate,IdentityMeasures_DO","BrighterLab,Deteriorate,PredictionMeasures_DO","BrighterLab,Improve,IdentityMeasures_DO","BrighterLab,Improve,PredictionMeasures_DO","WonderlandClothing,Deteriorate,IdentityMeasures_DO","WonderlandClothing,Deteriorate,PredictionMeasures_DO","WonderlandClothing,Improve,IdentityMeasures_DO","WonderlandClothing,Improve,PredictionMeasures_DO","AccessMine,Deteriorate,IdentityMeasures_DO","AccessMine,Deteriorate,PredictionMeasures_DO","AccessMine,Improve,IdentityMeasures_DO","AccessMine,Improve,PredictionMeasures_DO","Tecigo,Deteriorate,IdentityMeasures_DO","Tecigo,Deteriorate,PredictionMeasures_DO","Tecigo,Improve,IdentityMeasures_DO","Tecigo,Improve,PredictionMeasures_DO","RoyalOil,Deteriorate,IdentityMeasures_DO","RoyalOil,Deteriorate,PredictionMeasures_DO","RoyalOil,Improve,IdentityMeasures_DO","RoyalOil,Improve,PredictionMeasures_DO","BluewaterTobacco,Deteriorate,IdentityMeasures_DO","BluewaterTobacco,Deteriorate,PredictionMeasures_DO","BluewaterTobacco,Improve,IdentityMeasures_DO","BluewaterTobacco,Improve,PredictionMeasures_DO","DocLips,Deteriorate,IdentityMeasures_DO","DocLips,Deteriorate,PredictionMeasures_DO","DocLips,Improve,IdentityMeasures_DO","DocLips,Improve,PredictionMeasures_DO",PsychopathyMeasures_DO
5/22/23 9:29,5/22/23 9:35,0,100,343,1,5/22/23 9:35,R_2EaDsic7AqpOnwh,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,79,68,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,67,34,39,45,36,41,60,45,31,38,36,49,38,34,51,2,,4,,47,8,,,cmc_e3,FL_14,,,,"BrighterLab,Improve,PredictionMeasures",,,,,,,,,,,,,,,,,,,,BL_imp_vig|BL_imp_prediction_es|BL_imp_prediction_ca|BL_imp_prediction|BL_imp_prediction_te,,,,,,,,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:30,5/22/23 9:35,0,100,292,1,5/22/23 9:35,R_3oT2pQWtdzYMPYT,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,75,50,65,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,50,71,79,57,79,72,51,77,32,21,19,20,14,33,83,2,,2,,46,5,,,cmc_e3,FL_19,,,,,,,,,"Tecigo,Deteriorate,PredictionMeasures",,,,,,,,,,,,,,,,,,,,,,,,,TC_det_vig|TC_det_prediction_es|TC_det_prediction_te|TC_det_prediction|TC_det_prediction_ca,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:31,5/22/23 9:35,0,100,251,1,5/22/23 9:35,R_27xPDRMlozBujBm,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,100,100,100,,,,,1,1,5,,,,,,,,,,,,71,93,95,95,97,96,99,92,90,70,38,6,100,100,88,2,1,,1,,66,5,,,cmc_e3,FL_25,,,,,,,,,,,,,,,"DocLips,Deteriorate,IdentityMeasures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DL_det_vig|DL_det_identity_2|DL_det_identity_telo|DL_det_identity_3|DL_det_identity_1,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:32,5/22/23 9:35,0,100,136,1,5/22/23 9:35,R_1d5g2no4mmtbmRw,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,47,50,53,,,,,3,1,2,54,54,77,75,23,52,82,83,86,33,74,81,45,52,48,50,1,,1,,48,5,,,cmc_e3,FL_26,,,,,,,,,,,,,,,,"DocLips,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DL_imp_vig|DL_imp_identity_3|DL_imp_identity_1|DL_imp_identity_telo|DL_imp_identity_2,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:30,5/22/23 9:35,0,100,287,1,5/22/23 9:35,R_UXR9V0vTisOzR4J,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,49,32,69,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,33,81,40,23,49,83,41,28,71,53,28,74,52,39,29,1,,1,,35,4,,,cmc_e3,FL_20,,,,,,,,,,"Tecigo,Improve,PredictionMeasures",,,,,,,,,,,,,,,,,,,,,,,,,,TC_imp_vig|TC_imp_prediction|TC_imp_prediction_ca|TC_imp_prediction_es|TC_imp_prediction_te,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:31,5/22/23 9:35,0,100,265,1,5/22/23 9:35,R_ZqTw8o2EqFm4CSR,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,70,89,80,,,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,80,73,79,83,85,85,83,77,39,71,48,54,52,68,100,2,,1,,51,5,,,cmc_e3,FL_18,,,,,,,,"AccessMine,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,,,,,,,AM_imp_vig|AM_imp_identity_1|AM_imp_identity_telo|AM_imp_identity_2|AM_imp_identity_3,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:31,5/22/23 9:36,0,100,269,1,5/22/23 9:36,R_2uDNIg29rcDgwui,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,100,100,,,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,0,0,0,100,100,100,100,0,1,,1,,30,4,,,cmc_e3,FL_24,,,,,,,,,,,,,,"BluewaterTobacco,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT_imp_vig|BT_imp_identity_2|BT_imp_identity_1|BT_imp_identity_3|BT_imp_identity_telo,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:31,5/22/23 9:36,0,100,292,1,5/22/23 9:36,R_PHa9nSrAE1qsK8V,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,51,82,79,,,,,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,59,71,69,70,80,65,76,69,40,36,51,37,54,40,17,1,,1,,33,5,,,cmc_e3,FL_23,,,,,,,,,,,,,"BluewaterTobacco,Deteriorate,IdentityMeasures",,,,,,,,,,,,,,,,,,,,,,,,,,,,BT_det_vig|BT_det_identity_3|BT_det_identity_1|BT_det_identity_telo|BT_det_identity_2,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:29,5/22/23 9:36,0,100,380,1,5/22/23 9:36,R_3JD9yVaHATEnx6x,anonymous,EN,1,2,1,15,53,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,100,100,100,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,2,61,55,100,53,53,47,0,10,27,29,49,7,100,2,,1,,70,5,,,cmc_e3,FL_15,,,,,"WonderlandClothing,Deteriorate,IdentityMeasures",,,,,,,,,,,,,,,,,,,,WC_det_vig|WC_det_identity_3|WC_det_identity_2|WC_det_identity_1|WC_det_identity_telo,,,,,,,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:33,5/22/23 9:36,0,100,177,1,5/22/23 9:36,R_3EyEOpI1m17v1fR,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,74,8,100,51,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74,38,66,79,67,79,86,24,16,12,44,41,77,59,69,2,,1,,24,5,,,cmc_e3,FL_12,,"WestWinter,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,WW_imp_vig|WW_imp_identity_3|WW_imp_identity_2|WW_imp_identity_1|WW_imp_identity_telo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:28,5/22/23 9:36,0,100,491,1,5/22/23 9:36,R_1nUaPDmQllOJmaU,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,100,100,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,50,0,50,50,100,81,100,0,1,,4,,33,4,,,cmc_e3,FL_16,,,,,,"WonderlandClothing,Improve,PredictionMeasures",,,,,,,,,,,,,,,,,,,,,,WC_imp_vig|WC_imp_prediction_te|WC_imp_prediction_ca|WC_imp_prediction_es|WC_imp_prediction,,,,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:32,5/22/23 9:36,0,100,225,1,5/22/23 9:36,R_AzExeeZaLtjERj3,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,26,45,93,,,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,70,37,60,32,69,71,82,72,41,57,62,70,72,87,20,2,,3,,33,5,,,cmc_e3,FL_14,,,,"BrighterLab,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,,,BL_imp_vig|BL_imp_identity_1|BL_imp_identity_2|BL_imp_identity_3|BL_imp_identity_telo,,,,,,,,,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:32,5/22/23 9:36,0,100,273,1,5/22/23 9:36,R_3R1n5kBA1HKqzGE,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,78,87,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76,50,60,84,92,91,94,91,13,13,38,79,65,73,10,1,,1,,23,5,,,cmc_e3,FL_22,,,,,,,,,,,,"RoyalOil,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,,,,,,,,,,,RO_imp_vig|RO_imp_identity_2|RO_det_identity_telo|RO_imp_identity_1|RO_imp_identity_3,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:34,5/22/23 9:36,0,100,137,1,5/22/23 9:36,R_2TX1cfhjg7SKay5,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,100,100,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,66,29,30,24,17,21,15,64,72,39,52,62,65,67,22,1,,1,,40,5,,,cmc_e3,FL_18,,,,,,,,"AccessMine,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,,,,,,,AM_imp_vig|AM_imp_identity_3|AM_imp_identity_1|AM_imp_identity_telo|AM_imp_identity_2,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:33,5/22/23 9:37,0,100,207,1,5/22/23 9:37,R_55CUJ0fZppOgLzb,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,100,100,100,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,1,100,100,100,100,100,100,24,100,51,100,51,2,,1,,61,4,,,cmc_e3,FL_22,,,,,,,,,,,,"RoyalOil,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,,,,,,,,,,,RO_imp_vig|RO_imp_identity_3|RO_imp_identity_1|RO_imp_identity_2|RO_det_identity_telo,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:32,5/22/23 9:37,0,100,292,1,5/22/23 9:37,R_2f81jpk6DVKEI1T,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,25,100,100,1,2,5,,,,,,,,,,,,100,82,90,95,100,99,86,84,43,8,12,26,48,71,34,50,1,,1,,30,4,,,cmc_e3,FL_25,,,,,,,,,,,,,,,"DocLips,Deteriorate,PredictionMeasures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DL_det_vig|DL_det_prediction_te|DL_det_prediction|DL_det_prediction_ca|DL_det_prediction_es,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:29,5/22/23 9:37,0,100,478,1,5/22/23 9:37,R_vVyII5pYw2n8KfT,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,50,100,100,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,100,91,100,95,96,100,97,100,80,51,71,89,91,100,29,2,,1,,39,4,,thank you,cmc_e3,FL_19,,,,,,,,,"Tecigo,Deteriorate,PredictionMeasures",,,,,,,,,,,,,,,,,,,,,,,,,TC_det_vig|TC_det_prediction_es|TC_det_prediction_ca|TC_det_prediction_te|TC_det_prediction,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:30,5/22/23 9:37,0,100,377,1,5/22/23 9:37,R_721zcbNWxqqVRZf,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,29,53,100,100,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,51,49,50,52,50,50,50,51,51,51,51,52,50,49,81,2,,1,,34,6,,,cmc_e3,FL_12,,"WestWinter,Improve,IdentityMeasures",,,,,,,,,,,,,,,,,WW_imp_vig|WW_imp_identity_telo|WW_imp_identity_3|WW_imp_identity_1|WW_imp_identity_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
5/22/23 9:33,5/22/23 9:37,0,100,258,1,5/22/23 9:37,R_27wjZnqRRWMBvUp,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,60,100,100,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,80,55,65,80,75,75,80,85,40,70,60,75,80,80,70,1,,1,,41,4,,I definitely wouldn't purchase clothing from this company.,cmc_e3,FL_15,,,,,"WonderlandClothing,Deteriorate,PredictionMeasures",,,,,,,,,,,,,,,,,,,,,WC_det_vig|WC_det_prediction_ca|WC_det_prediction_es|WC_det_prediction|WC_det_prediction_te,,,,,,,,,,,,,,,,,,,,,,,psych_instructions|psych_glibness|psych_grandiose|psych_path_liar|psych_con_manip|psych_remorse|psych_shallow_affect|psych_callous|psych_parasitism|psych_control_behav|psych_goals|psych_impulse|psych_irresponsible|psych_responsible|psych_same_offense|psych_criminal
